[2023-09-17 18:34:30.716612][info]:  Creating application info.
[2023-09-17 18:34:30.718187][info]:  Created application info.
[2023-09-17 18:34:30.793331][info]:  Checking required Extensions.
[2023-09-17 18:34:30.793506][info]:  Checking required layers.
[2023-09-17 18:34:30.794425][info]:  Creating instance info.
[2023-09-17 18:34:30.794441][info]:  Creating instance.
[2023-09-17 18:34:32.807540][info]:  Creating logical device.
[2023-09-17 18:34:32.818556][info]:  Creating swapchain.
[2023-09-17 18:34:32.820893][info]:  Creating image views.
[2023-09-17 18:34:32.821188][info]:  Creating render pass.
[2023-09-17 18:34:32.821921][info]:  Creating graphics pipeline.
[2023-09-17 18:34:36.691958][error]:  Couldn't open vertex shader.
[2023-09-17 18:34:36.692110][error]:  Couldn't create graphics pipeline.
[2023-09-17 18:34:36.692155][info]:  Creating framebuffers.
[2023-09-17 18:34:36.692377][info]:  Creating command pool.
[2023-09-17 18:34:36.692470][info]:  Creating synchronization objects.
[2023-09-17 18:34:36.692642][info]:  Video setted up.
